date,state,demo_age_5_17,bio_age_5_17,age_5_17,gap_5_17
01-03-2025,Andaman and Nicobar Islands,126,835.0,0.0,126.0
01-03-2025,Andhra Pradesh,48600,183593.0,0.0,48600.0
01-03-2025,Arunachal Pradesh,852,2085.0,0.0,852.0
01-03-2025,Assam,16692,44864.0,0.0,16692.0
01-03-2025,Bihar,95221,272025.0,0.0,95221.0
01-03-2025,Chandigarh,1296,2423.0,0.0,1296.0
01-03-2025,Chhattisgarh,18699,29863.0,0.0,18699.0
01-03-2025,Dadra and Nagar Haveli,49,732.0,0.0,49.0
01-03-2025,Dadra and Nagar Haveli and Daman and Diu,69,20.0,0.0,69.0
01-03-2025,Daman and Diu,18,248.0,0.0,18.0
01-03-2025,Delhi,24234,53868.0,0.0,24234.0
01-03-2025,Goa,1223,2570.0,0.0,1223.0
01-03-2025,Gujarat,67041,132856.0,0.0,67041.0
01-03-2025,Haryana,20543,56535.0,0.0,20543.0
01-03-2025,Himachal Pradesh,4687,13385.0,0.0,4687.0
01-03-2025,Jammu and Kashmir,12688,28615.0,0.0,12688.0
01-03-2025,Jharkhand,22953,115391.0,0.0,22953.0
01-03-2025,Karnataka,86046,107037.0,0.0,86046.0
01-03-2025,Kerala,9410,33075.0,0.0,9410.0
01-03-2025,Ladakh,749,365.0,0.0,749.0
01-03-2025,Madhya Pradesh,73640,249507.0,0.0,73640.0
01-03-2025,Maharashtra,45650,212088.0,0.0,45650.0
01-03-2025,Manipur,4575,4753.0,0.0,4575.0
01-03-2025,Meghalaya,3226,2783.0,0.0,3226.0
01-03-2025,Mizoram,2205,28291.0,0.0,2205.0
01-03-2025,Nagaland,962,2953.0,0.0,962.0
01-03-2025,Odisha,39476,105478.0,0.0,39476.0
01-03-2025,Puducherry,479,700.0,0.0,479.0
01-03-2025,Punjab,10147,55400.0,0.0,10147.0
01-03-2025,Rajasthan,64641,142949.0,0.0,64641.0
01-03-2025,Sikkim,372,1568.0,0.0,372.0
01-03-2025,Tamil Nadu,40573,225433.0,0.0,40573.0
01-03-2025,Telangana,53790,58306.0,0.0,53790.0
01-03-2025,Tripura,2652,22928.0,0.0,2652.0
01-03-2025,Uttar Pradesh,156908,625322.0,0.0,156908.0
01-03-2025,Uttarakhand,10108,18913.0,0.0,10108.0
01-03-2025,West Bengal,35495,72683.0,0.0,35495.0
01-04-2025,Andhra Pradesh,6699,39167.0,0.0,6699.0
01-04-2025,Assam,348,1691.0,76.0,272.0
01-04-2025,Bihar,2204,3314.0,296.0,1908.0
01-04-2025,Chandigarh,3917,4023.0,21.0,3896.0
01-04-2025,Chhattisgarh,6249,8931.0,50.0,6199.0
01-04-2025,Dadra and Nagar Haveli,156,1043.0,0.0,156.0
01-04-2025,Delhi,45578,81634.0,1309.0,44269.0
01-04-2025,Gujarat,7381,14275.0,745.0,6636.0
01-04-2025,Haryana,18749,40305.0,407.0,18342.0
01-04-2025,Himachal Pradesh,324,1087.0,0.0,324.0
01-04-2025,Jammu and Kashmir,7915,13288.0,0.0,7915.0
01-04-2025,Jharkhand,606,2196.0,174.0,432.0
01-04-2025,Karnataka,10519,18561.0,476.0,10043.0
01-04-2025,Madhya Pradesh,29556,110565.0,985.0,28571.0
01-04-2025,Maharashtra,6110,14521.0,781.0,5329.0
01-04-2025,Mizoram,328,2080.0,0.0,328.0
01-04-2025,Punjab,1893,7328.0,362.0,1531.0
01-04-2025,Rajasthan,16546,28002.0,1754.0,14792.0
01-04-2025,Tamil Nadu,4126,12208.0,19.0,4107.0
01-04-2025,Telangana,3617,4224.0,22.0,3595.0
01-04-2025,Uttar Pradesh,18441,55760.0,3795.0,14646.0
01-04-2025,Uttarakhand,4526,6201.0,66.0,4460.0
01-04-2025,West Bengal,2956,5184.0,198.0,2758.0
01-05-2025,Andhra Pradesh,24392,57349.0,0.0,24392.0
01-05-2025,Assam,176,329.0,99.0,77.0
01-05-2025,Bihar,768,1398.0,587.0,181.0
01-05-2025,Chandigarh,2338,2451.0,0.0,2338.0
01-05-2025,Chhattisgarh,6011,10122.0,35.0,5976.0
01-05-2025,Delhi,18132,30048.0,480.0,17652.0
01-05-2025,Gujarat,14688,31057.0,1351.0,13337.0
01-05-2025,Haryana,15613,26740.0,371.0,15242.0
01-05-2025,Himachal Pradesh,136,387.0,0.0,136.0
01-05-2025,Jammu and Kashmir,3992,7610.0,39.0,3953.0
01-05-2025,Jharkhand,320,677.0,0.0,320.0
01-05-2025,Karnataka,20199,33411.0,885.0,19314.0
01-05-2025,Madhya Pradesh,40292,168649.0,1561.0,38731.0
01-05-2025,Maharashtra,9959,23643.0,1107.0,8852.0
01-05-2025,Mizoram,76,267.0,0.0,76.0
01-05-2025,Puducherry,86,156.0,0.0,86.0
01-05-2025,Punjab,4010,11640.0,712.0,3298.0
01-05-2025,Rajasthan,6845,11065.0,343.0,6502.0
01-05-2025,Tamil Nadu,3958,6604.0,0.0,3958.0
01-05-2025,Telangana,4641,5021.0,0.0,4641.0
01-05-2025,Uttar Pradesh,18003,42048.0,4975.0,13028.0
01-05-2025,Uttarakhand,3101,5905.0,135.0,2966.0
01-05-2025,West Bengal,7157,9761.0,783.0,6374.0
01-06-2025,Andhra Pradesh,22824,42228.0,0.0,22824.0
01-06-2025,Assam,195,250.0,75.0,120.0
01-06-2025,Chandigarh,841,1414.0,0.0,841.0
01-06-2025,Chhattisgarh,27315,28953.0,0.0,27315.0
01-06-2025,Delhi,16863,29367.0,1739.0,15124.0
01-06-2025,Gujarat,7858,17380.0,67.0,7791.0
01-06-2025,Haryana,12398,23735.0,557.0,11841.0
01-06-2025,Himachal Pradesh,362,723.0,0.0,362.0
01-06-2025,Jammu and Kashmir,2014,6477.0,0.0,2014.0
01-06-2025,Karnataka,15555,19970.0,0.0,15555.0
01-06-2025,Madhya Pradesh,37214,141386.0,2039.0,35175.0
01-06-2025,Maharashtra,12811,32676.0,1514.0,11297.0
01-06-2025,Mizoram,162,577.0,69.0,93.0
01-06-2025,Punjab,3715,15197.0,184.0,3531.0
01-06-2025,Rajasthan,6789,19986.0,491.0,6298.0
01-06-2025,Tamil Nadu,1420,2123.0,0.0,1420.0
01-06-2025,Telangana,8796,7703.0,178.0,8618.0
01-06-2025,Uttar Pradesh,10059,23647.0,3430.0,6629.0
01-06-2025,Uttarakhand,2226,4124.0,80.0,2146.0
01-06-2025,West Bengal,8350,10291.0,65.0,8285.0
01-07-2025,Andaman and Nicobar Islands,40,130.0,0.0,40.0
01-07-2025,Andhra Pradesh,12952,14382.0,0.0,12952.0
01-07-2025,Assam,4737,5899.0,1111.0,3626.0
01-07-2025,Bihar,628,2424.0,0.0,628.0
01-07-2025,Chandigarh,2093,18651.0,0.0,2093.0
01-07-2025,Chhattisgarh,17056,24441.0,464.0,16592.0
01-07-2025,Delhi,29267,48125.0,3693.0,25574.0
01-07-2025,Gujarat,9325,23393.0,2834.0,6491.0
01-07-2025,Haryana,18456,65711.0,690.0,17766.0
01-07-2025,Himachal Pradesh,83,255.0,0.0,83.0
01-07-2025,Jammu and Kashmir,3811,12391.0,0.0,3811.0
01-07-2025,Karnataka,11744,20529.0,77.0,11667.0
01-07-2025,Madhya Pradesh,65004,185204.0,11498.0,53506.0
01-07-2025,Maharashtra,15732,45723.0,7319.0,8413.0
01-07-2025,Mizoram,41,124.0,57.0,-16.0
01-07-2025,Odisha,1098,1389.0,0.0,1098.0
01-07-2025,Puducherry,248,272.0,0.0,248.0
01-07-2025,Punjab,10968,37906.0,1431.0,9537.0
01-07-2025,Rajasthan,18362,68701.0,5380.0,12982.0
01-07-2025,Tamil Nadu,2973,3878.0,0.0,2973.0
01-07-2025,Telangana,13880,16126.0,1337.0,12543.0
01-07-2025,Uttar Pradesh,31605,71803.0,13567.0,18038.0
01-07-2025,Uttarakhand,4545,7587.0,323.0,4222.0
01-07-2025,West Bengal,13801,25190.0,0.0,13801.0
01-09-2025,Andaman & Nicobar Islands,0,3.0,1.0,-1.0
01-09-2025,Andaman and Nicobar Islands,2,100.0,2.0,0.0
01-09-2025,Andhra Pradesh,1614,4052.0,280.0,1334.0
01-09-2025,Arunachal Pradesh,144,131.0,21.0,123.0
01-09-2025,Assam,1479,2964.0,757.0,722.0
01-09-2025,Bihar,4736,8608.0,3874.0,862.0
01-09-2025,Chandigarh,27,139.0,1.0,26.0
01-09-2025,Chhattisgarh,811,2195.0,206.0,605.0
01-09-2025,Dadra & Nagar Haveli,0,4.0,0.0,0.0
01-09-2025,Dadra and Nagar Haveli,13,17.0,0.0,13.0
01-09-2025,Dadra and Nagar Haveli and Daman and Diu,4,2.0,1.0,3.0
01-09-2025,Daman & Diu,1,0.0,0.0,1.0
01-09-2025,Daman and Diu,0,16.0,1.0,-1.0
01-09-2025,Delhi,603,2263.0,190.0,413.0
01-09-2025,Goa,37,276.0,5.0,32.0
01-09-2025,Gujarat,1058,6156.0,727.0,331.0
01-09-2025,Haryana,601,3566.0,90.0,511.0
01-09-2025,Himachal Pradesh,183,373.0,3.0,180.0
01-09-2025,Jammu & Kashmir,0,0.0,0.0,0.0
01-09-2025,Jammu and Kashmir,316,1339.0,106.0,210.0
01-09-2025,Jharkhand,1473,3994.0,925.0,548.0
01-09-2025,Karnataka,1344,4389.0,461.0,883.0
01-09-2025,Kerala,936,3719.0,365.0,571.0
01-09-2025,Ladakh,4,9.0,5.0,-1.0
01-09-2025,Lakshadweep,0,1.0,0.0,0.0
01-09-2025,Madhya Pradesh,1868,11992.0,1428.0,440.0
01-09-2025,Maharashtra,1398,11749.0,777.0,621.0
01-09-2025,Manipur,185,239.0,78.0,107.0
01-09-2025,Meghalaya,152,142.0,218.0,-66.0
01-09-2025,Mizoram,22,119.0,8.0,14.0
01-09-2025,Nagaland,21,74.0,55.0,-34.0
01-09-2025,ODISHA,0,0.0,0.0,0.0
01-09-2025,Odisha,1558,7001.0,561.0,997.0
01-09-2025,Orissa,31,72.0,11.0,20.0
01-09-2025,Pondicherry,4,31.0,0.0,4.0
01-09-2025,Puducherry,33,180.0,0.0,33.0
01-09-2025,Punjab,314,1751.0,67.0,247.0
01-09-2025,Rajasthan,1916,7962.0,921.0,995.0
01-09-2025,Sikkim,34,33.0,13.0,21.0
01-09-2025,Tamil Nadu,2340,3884.0,307.0,2033.0
01-09-2025,Telangana,1315,3391.0,478.0,837.0
01-09-2025,Tripura,146,338.0,62.0,84.0
01-09-2025,Uttar Pradesh,13740,20903.0,5223.0,8517.0
01-09-2025,Uttarakhand,238,1524.0,39.0,199.0
01-09-2025,West  Bengal,0,0.0,0.0,0.0
01-09-2025,West Bengal,4281,7012.0,1369.0,2912.0
01-09-2025,West bengal,0,0.0,0.0,0.0
01-09-2025,Westbengal,0,0.0,0.0,0.0
01-09-2025,andhra pradesh,0,1.0,0.0,0.0
01-09-2025,odisha,0,0.0,0.0,0.0
01-09-2025,west Bengal,0,0.0,0.0,0.0
01-11-2025,Andaman & Nicobar Islands,0,2.0,0.0,0.0
01-11-2025,Andaman and Nicobar Islands,6,16.0,0.0,6.0
01-11-2025,Andhra Pradesh,5334,16353.0,55.0,5279.0
01-11-2025,Arunachal Pradesh,99,262.0,9.0,90.0
01-11-2025,Assam,865,4308.0,137.0,728.0
01-11-2025,Bihar,3360,2883.0,974.0,2386.0
01-11-2025,Chandigarh,18,122.0,1.0,17.0
01-11-2025,Chhattisgarh,816,7518.0,37.0,779.0
01-11-2025,Dadra and Nagar Haveli,2,35.0,0.0,2.0
01-11-2025,Dadra and Nagar Haveli and Daman and Diu,0,1.0,0.0,0.0
01-11-2025,Daman & Diu,1,6.0,0.0,1.0
01-11-2025,Daman and Diu,4,43.0,0.0,4.0
01-11-2025,Delhi,471,1556.0,70.0,401.0
01-11-2025,Goa,39,208.0,2.0,37.0
01-11-2025,Gujarat,807,8337.0,28.0,779.0
01-11-2025,Haryana,564,2303.0,30.0,534.0
01-11-2025,Himachal Pradesh,183,1312.0,0.0,183.0
01-11-2025,Jammu & Kashmir,0,1.0,0.0,0.0
01-11-2025,Jammu and Kashmir,420,2063.0,17.0,403.0
01-11-2025,Jharkhand,787,831.0,121.0,666.0
01-11-2025,Karnataka,1493,2076.0,74.0,1419.0
01-11-2025,Kerala,863,517.0,44.0,819.0
01-11-2025,Ladakh,3,4.0,0.0,3.0
01-11-2025,Lakshadweep,0,3.0,0.0,0.0
01-11-2025,Madhya Pradesh,986,4148.0,96.0,890.0
01-11-2025,Maharashtra,1420,12553.0,79.0,1341.0
01-11-2025,Manipur,889,1157.0,19.0,870.0
01-11-2025,Meghalaya,51,96.0,154.0,-103.0
01-11-2025,Mizoram,20,107.0,5.0,15.0
01-11-2025,Nagaland,39,176.0,38.0,1.0
01-11-2025,ODISHA,0,0.0,0.0,0.0
01-11-2025,Odisha,1096,8335.0,80.0,1016.0
01-11-2025,Orissa,12,82.0,2.0,10.0
01-11-2025,Pondicherry,3,24.0,1.0,2.0
01-11-2025,Puducherry,27,134.0,0.0,27.0
01-11-2025,Punjab,353,4714.0,109.0,244.0
01-11-2025,Rajasthan,1351,6267.0,161.0,1190.0
01-11-2025,Sikkim,11,29.0,9.0,2.0
01-11-2025,Tamil Nadu,4018,24235.0,287.0,3731.0
01-11-2025,Telangana,3350,10299.0,103.0,3247.0
01-11-2025,Tripura,149,726.0,14.0,135.0
01-11-2025,Uttar Pradesh,7388,28170.0,1253.0,6135.0
01-11-2025,Uttarakhand,374,2198.0,17.0,357.0
